Teste,Número de Testes,Algoritmo,Tempo de Execução,Número de Comparações,Número de Trocas
0,1000,Quicksort,0.000242,13098,8742
0,1000,Quicksort Insertion (m=10),0.000273,12501,8120
0,1000,Quicksort Insertion (m=100),0.000612,27701,12238
0,1000,Quicksort Mediana (k=3),0.000742,29355,4548
0,1000,Quicksort Mediana (k=5),0.001019,28222,5111
1,5000,Quicksort,0.001148,80038,43208
1,5000,Quicksort Insertion (m=10),0.001659,73669,41304
1,5000,Quicksort Insertion (m=100),0.003937,159988,91620
1,5000,Quicksort Mediana (k=3),0.005100,298200,32362
1,5000,Quicksort Mediana (k=5),0.006065,289721,24491
2,10000,Quicksort,0.002255,166990,81180
2,10000,Quicksort Insertion (m=10),0.002501,156122,83420
2,10000,Quicksort Insertion (m=100),0.006404,317789,162102
2,10000,Quicksort Mediana (k=3),0.009966,785311,45891
2,10000,Quicksort Mediana (k=5),0.014490,848381,51956
3,50000,Quicksort,0.015700,961361,485679
3,50000,Quicksort Insertion (m=10),0.016659,915508,505605
3,50000,Quicksort Insertion (m=100),0.039155,1750691,938907
3,50000,Quicksort Mediana (k=3),0.096491,9430358,321167
3,50000,Quicksort Mediana (k=5),0.105575,9523230,287950
4,100000,Quicksort,0.031125,2053087,1078558
4,100000,Quicksort Insertion (m=10),0.035446,2047137,1043212
4,100000,Quicksort Insertion (m=100),0.076990,3673856,1894630
4,100000,Quicksort Mediana (k=3),0.208476,25846900,726071
4,100000,Quicksort Mediana (k=5),0.238505,25831129,778778
5,500000,Quicksort,0.167675,12462285,6149521
5,500000,Quicksort Insertion (m=10),0.179198,11586362,6446406
5,500000,Quicksort Insertion (m=100),0.394389,19746770,10640986
5,500000,Quicksort Mediana (k=3),1.815208,272536097,4198493
5,500000,Quicksort Mediana (k=5),2.010141,273873672,4449368
