Teste,Número de Testes,Algoritmo,Tempo de Execução,Número de Comparações,Número de Colisões,Gasto de Memoria
0,1000,Enderecamento por Sondagem Linear,0.000657,24301,23301,106496
0,1000,Enderecamento por Sondagem Quadratica,0.000599,16801,15801,143360
0,1000,Encadeamento Separado,0.000423,1391,118,204800
0,1000,Encadeamento Coalescido,0.001785,215688,214688,204800
0,1000,Enderecamento por Duplo Hash,0.000736,12520,11511,241664
1,5000,Enderecamento por Sondagem Linear,0.003802,276543,271543,606208
1,5000,Enderecamento por Sondagem Quadratica,0.003207,111373,106373,614400
1,5000,Encadeamento Separado,0.002162,6960,641,892928
1,5000,Encadeamento Coalescido,0.032985,5265883,5260883,897024
1,5000,Enderecamento por Duplo Hash,0.003947,119505,114495,901120
2,10000,Enderecamento por Sondagem Linear,0.008636,708696,698696,1638400
2,10000,Enderecamento por Sondagem Quadratica,0.007624,410419,400419,1638400
2,10000,Encadeamento Separado,0.004328,13922,1264,2125824
2,10000,Encadeamento Coalescido,0.132977,21679773,21669773,2142208
2,10000,Enderecamento por Duplo Hash,0.008740,290188,280178,2150400
3,50000,Enderecamento por Sondagem Linear,0.063609,6512330,6462330,5808128
3,50000,Enderecamento por Sondagem Quadratica,0.044932,2601203,2551203,5861376
3,50000,Encadeamento Separado,0.024086,69623,6418,8654848
3,50000,Encadeamento Coalescido,3.030832,543121366,543071366,8708096
3,50000,Enderecamento por Duplo Hash,0.053854,2056742,2006732,8761344
4,100000,Enderecamento por Sondagem Linear,0.194876,22711742,22611742,15966208
4,100000,Enderecamento por Sondagem Quadratica,0.129418,10088141,9988141,15966208
4,100000,Encadeamento Separado,0.053041,139323,12894,20938752
4,100000,Encadeamento Coalescido,12.355701,18446744071585301575,18446744071585201575,21041152
4,100000,Enderecamento por Duplo Hash,0.129717,5372778,5272768,21143552
5,500000,Enderecamento por Sondagem Linear,2.238126,310604317,310104317,57651200
5,500000,Enderecamento por Sondagem Quadratica,1.736240,200241317,199741317,58155008
5,500000,Encadeamento Separado,0.273807,698236,66131,85860352
5,500000,Encadeamento Coalescido,329.009790,18446744072332389231,18446744072331889231,80850944
5,500000,Enderecamento por Duplo Hash,1.918510,104171837,103671827,81354752
