Teste,Número de Testes,Algoritmo,Tempo de Execução,Número de Comparações,Número de Trocas
0,1000,InsertionSort,0.002442,240487,239488
0,1000,Quicksort,0.000214,9856,5394
0,1000,Mergesort,0.000263,8713,8713
0,1000,Heapsort,0.004333,360686,146645
0,1000,Meusort (Radix),0.000117,0,0
1,5000,InsertionSort,0.062780,6268647,6263648
1,5000,Quicksort,0.001047,71011,37295
1,5000,Mergesort,0.001140,55219,55219
1,5000,Heapsort,0.131690,8996981,3550740
1,5000,Meusort (Radix),0.000952,0,0
2,10000,InsertionSort,0.253037,25021602,25011603
2,10000,Quicksort,0.002234,157523,81868
2,10000,Mergesort,0.002382,120444,120444
2,10000,Heapsort,0.519884,35897947,14207304
2,10000,Meusort (Radix),0.001312,0,0
3,50000,InsertionSort,6.347086,626326803,626276804
3,50000,Quicksort,0.012497,927961,475965
3,50000,Mergesort,0.013553,718051,718051
3,50000,Heapsort,12.679780,903350871,347290044
3,50000,Meusort (Radix),0.006843,0,0
4,100000,InsertionSort,26.196229,2501307714,2501207715
4,100000,Quicksort,0.028917,1964382,1063731
4,100000,Mergesort,0.030256,1536416,1536416
4,100000,Heapsort,52.946070,3606780262,1394605542
4,100000,Meusort (Radix),0.016259,0,0
5,500000,InsertionSort,635.019138,62435727822,62435227823
5,500000,Quicksort,0.151401,11268996,6011940
5,500000,Mergesort,0.163071,8836979,8836979
5,500000,Heapsort,1264.056185,90189119917,34819017471
5,500000,Meusort (Radix),0.085049,0,0
