Teste,Número de Testes,Algoritmo,Tempo de Execução,Número de Comparações,Número de Colisões,Gasto de Memoria
0,1000,Enderecamento por Sondagem Linear,0.000577,24301,23301,122880
0,1000,Enderecamento por Sondagem Quadratica,0.000597,16559,15559,122880
0,1000,Encadeamento Separado,0.000424,1391,118,188416
0,1000,Encadeamento Coalescido,0.001754,221988,220988,188416
0,1000,Enderecamento por Duplo Hash,0.000734,11826,10816,188416
1,5000,Enderecamento por Sondagem Linear,0.004425,276543,271543,565248
1,5000,Enderecamento por Sondagem Quadratica,0.003314,135195,130195,565248
1,5000,Encadeamento Separado,0.002147,6960,641,835584
1,5000,Encadeamento Coalescido,0.032708,5278677,5273677,835584
1,5000,Enderecamento por Duplo Hash,0.004025,129714,124704,843776
2,10000,Enderecamento por Sondagem Linear,0.008741,708696,698696,1589248
2,10000,Enderecamento por Sondagem Quadratica,0.007753,426454,416454,1589248
2,10000,Encadeamento Separado,0.004310,13922,1264,2093056
2,10000,Encadeamento Coalescido,0.125918,21712267,21702267,2101248
2,10000,Enderecamento por Duplo Hash,0.008562,283812,273802,2113536
3,50000,Enderecamento por Sondagem Linear,0.064074,6512330,6462330,5771264
3,50000,Enderecamento por Sondagem Quadratica,0.048080,2980349,2930349,5824512
3,50000,Encadeamento Separado,0.025997,69623,6418,8663040
3,50000,Encadeamento Coalescido,3.021311,541833135,541783135,8716288
3,50000,Enderecamento por Duplo Hash,0.054823,2126176,2076166,8769536
4,100000,Enderecamento por Sondagem Linear,0.193439,22711742,22611742,15974400
4,100000,Enderecamento por Sondagem Quadratica,0.115964,7730292,7630292,15974400
4,100000,Encadeamento Separado,0.053462,139323,12894,20918272
4,100000,Encadeamento Coalescido,12.356066,18446744071578705580,18446744071578605580,21020672
4,100000,Enderecamento por Duplo Hash,0.132353,5815414,5715404,21123072
5,500000,Enderecamento por Sondagem Linear,2.268745,310604317,310104317,57630720
5,500000,Enderecamento por Sondagem Quadratica,1.480854,159920089,159420089,58134528
5,500000,Encadeamento Separado,0.274288,698236,66131,86454272
5,500000,Encadeamento Coalescido,330.678208,18446744072284836098,18446744072284336098,80064512
5,500000,Enderecamento por Duplo Hash,1.682542,92267544,91767534,80568320
